書籍名稱
去見16歲的你(上下套書)
和魔女共度的七天
冬日朝聖之路：說走就走，管他去死
雙面殺手
台灣鐵路千公里 完全版(隨書附贈「宮脇俊三台灣紀行旅客列車時刻表1980」別冊)
山河枕【第二部】家燈暖(上中下卷套書)
文學旅人：此生必訪50個日本文學地景
錯時錯地【已經發生的謀殺，有可能倒轉嗎？】
句號那麼近
少年蒙歌【限量作者親簽扉頁】(《時代雜誌》年度百大好書.布克獎得主最新作品)
上流法則【全球暢銷書《莫斯科紳士》作者托歐斯出道作】
安珀警報
【限量親簽】親愛的馬克瑪麗 2 ： Re ：上班難、做人更難，我該怎麼辨？ ( 附贈快速通關信封 )
這輩子賺多少才夠？【行動清單×10張表格】逆轉勝！成為自己的富一代
頭腦好的人說話前思考的事：第一本！將「思考維度」融入於「溝通法則」的工具書
126張圖學會量價戰法秒賺波段：看懂主力的低買高賣，一張賺錢的單
時間的代價：從利息的歷史，揭示低利率的風險與危機
離開舒適圈之後，抵達成熟之前：一場奇幻的海外職場大冒險
窮查理的普通常識(紀念典藏版)：巴菲特50年智慧合夥人查理．蒙格的人生哲學
AI世界的底層邏輯與生存法則
巨人的筆記【隨書附「摘要生活大小事」記錄別冊】：用記錄改寫人生的方法
用最小力氣，做出最大成果：減量增質，啟動高效工作思維
親愛的馬克瑪麗2：Re：上班難、做人更難，我該怎麼辦？
12個經濟指標，讓你投資無往不利
《甄愛密碼》周甄娜寫真書
鋼彈模型完美組裝妙招集 拼裝製作篇
不夠善良的我們 劇本書
在一起之後 VBL 免疫屏蔽|絕對佔領|保留席位|恆久定律 甜寵番外合輯
(限)Answer 戀渕桃奈寫真集
激辣數獨１３３選９
可愛動物造型摺紙
法式料理全書：典藏二星主廚的正統手法.醬汁配方
糧心記，食文化的歷史與現代對話：鐘鳴鼎食×酒樓食肆×異域風味×皇家御宴，從筷頭春秋到八大菜系，品味千年飲食精華
西餐餐桌禮儀.究極品味的科學
出社會第N年，今天也是為五斗米折腰的一天
有用之人：阿諾史瓦辛格改變命運、養成不敗意志的人生7律【全球獨家．繁中精裝典藏版】
人間值得：一個百歲醫生的人生智慧，生命每個時期都是年輕的
活出最耀眼的自己
深度紓壓：每天15分鐘，7天降低壓力指數，破除慢性壓力循環，放掉煩惱，活得更快樂
練習好好變老：你一定會老，但要老得自在從容！醫學博士從112個關鍵字解讀高齡人士的心理與行為邏輯，消除你對老後的恐懼與不安
馬上就能用的超強記憶法：記憶是考試、學習、成為能人的根本，用你熟悉的舊串起上百個新，不用一個月，人生各方面彎道超車。
停止拖延的情緒行為動力學【暢銷新版】
三明治媽的多重宇宙：意外總會隨時上門，保持Chill才能見招拆招
微創傷：你以為沒什麼事，其實很有事
助你一臂之力！偉人名言佳句 80句10分鐘讀世界名言真理
深刻認識一個人：發現自己與他人的非凡之處
退化性關節炎診治照護全書：51堂速懂膝關節炎&髖關節炎預防與治療的健康課程
吃飽才有力氣瘦！211彩虹瘦身餐盤：不用計算熱量醣量，掌握原型食物比例，118道無痛瘦身料理攻略
腸胃營養學全書：融合實證、臨床與研究，改善腸道機能、降低疾病風險最重要的保健指南
【醫師親繪圖解&示範】身體消痛復健一本通：從手肘腕到肩頸脊背、腰臀腿膝足的臨床非藥處方
江晨恩醫師心血管診療室：從日常護心、逆轉三高到精準治療，超前部署，遠離心血管疾病
一切安好：結合醫學、肯定句與直覺力的身心靈完全療法
人體身心靈系統使用手冊：追本溯源，啟動能量療癒，修復靈魂創痕
台大肺癌診治照護與飲食套書(共2本)：完全解析肺癌診治照護全書＋癌症飲食全書
健康背後，科學與飲食的連結：藥理教授教你善用舌尖來思考
為什麼他可以睡得那麼好？：101招養成秒睡體質、告別失眠！給現代人的究極好睡指南
超高齡紅利時代：人口未來學家帶你讀懂銀髮海嘯的危機與商機，打造長壽經濟的行動指南
月經週期斷食療法
台灣療癒散步冊：10大療癒主題旅遊策展動動腦
九州(24-25年版)：玩味泡湯親自然Easy GO！
京都有禪：一位留學僧的京都學記
首爾超導覽2024
沖繩親子遊：帶小孩第一沖就上手！溜滑梯公園X主題園區X文化體驗X高CP值飯店，從北玩到南150＋人氣景點全制霸！ 暢銷最新版
【全圖解】韓國點餐超簡單：22類美食x100＋餐廳，從點餐、數位支付、外送&代訂，不懂韓文也能在地吃喝不踩雷
清邁攻略完全制霸
【二十週年紀念版】鐵道建築散步
高雄墾丁(2024-25革新版)
八旬老僧筆記：述異見聞
同行
紫微攻略.午後命相館：從命盤找到最好的那條路
地占全書
在阿卡西紀錄中療癒
早期課輕導讀 卷一
早期課輕導讀 卷二
用媽祖籤詩搞懂人生
京都怪奇談【幽冥之門篇】：日本超人氣和尚三木大雲，帶你穿梭幽冥之門、細緻導覽善惡果報的警世之作
森林守護者神諭卡：52張結合動物與植物的牌卡，為你清楚指引人生方向
科學與聖經創造: 化解六大衝突的A-B-C
上帝的叛徒：墮落守望者 增修版
四夠教養法，養出溫暖聰明的孩子【限量親簽版】
覺醒父母【歐普拉、達賴喇嘛盛讚的新世代教養指南，暢銷新版】：進入覺知教養，走出掌控孩子的單行道，讓內在小孩與孩子一起成長
圖解 自閉症類群障礙ASD：有效發揮孩子潛能、改善人際關係及生活自理能力〔暢銷修訂版〕
視覺專注力遊戲套書(共4本)：視覺專注力遊戲在家輕鬆玩1＋2＋3＋4
媽媽的說話練習2：培育內心堅韌、不畏失敗的不倒翁孩子
零吼罵育兒練習：爸媽輕鬆、小孩開心才是王道！
好好吃教室：與孩子一起實踐的十四堂食育課
四夠教養法，養出溫暖聰明的孩子
讓孩子成為自己人生的玩家：透過遊戲和陪伴養出內心強大的孩子
屁屁丹迪05：白雲王國大冒險！
媽媽是房子(法國千頁獎童書大獎)
少年讀人類的故事2：世界為什麼變得不公平(人類大歷史哈拉瑞給少年的力作)
哆啦A夢科學任意門25：數位世界穿透環
穿越驚奇圖書館1：被封印的格林兄弟
穿越驚奇圖書館2：搶救天方夜譚說書人
鬼怪食堂4 克服逆境的甜美滋味
有苦有樂：每件小事都有意義，活著就要不斷思考！(附吉光片羽透明影格書籤)
會考作文拿高分，看這本就對了！(4版)
我們的決定：世界兒童的地球憲章：保護大自然、人類與地球
可愛動物 觸摸有聲書
魔法少女奇遇記4：真假魔女變身記
花嬌八完
素手提刑(三)
嬌娘大嫁光臨 卷四
嬌娘大嫁光臨 卷三
嬌娘大嫁光臨 卷二
嬌娘大嫁光臨 卷一
素手提刑(四)
女帝卷一
女帝卷二
嬌娘大嫁光臨 卷五(完)
十世炮灰變福星
喜得醫流妻
聖劍學院的魔劍使 14
神使劇場：闇的遊戲日
神界直屬第十九號部門(４)
才女的侍從在滿是高嶺之花的貴族學校暗中照顧（毫無生活自理能力的）學院第一大小姐(首刷限定版) 07
於那一世遇見你 【1＋2套書】
亂世千金倪亞．利斯頓 轉生為嬌弱千金的弒神武人華麗無雙錄 (首刷限定版) 03
反派千金等級99～我是隱藏頭目但不是魔王～(05)
After Sundown 日暮生死戀【1+2套書】
藥師少女的獨語(１３)
被逐出勇者小隊的精靈術士 1 不得志職種覺醒成最高等級，與真正的夥伴一同稱霸五大迷宮 (首刷限定版)
單行戀03(完)(限制級)
春夏秋冬代行者 拂曉射手(首刷限定版) (全)
SPY×FAMILY 間諜家家酒 （首刷限定版） 13
ONE PIECE航海王 108
危險便利商店3
危險便利商店4
帶子Ω與暴君黑道 blooming(全)
夜半吸血如有打擾，敬請見諒。(03)
學生會也有洞！ 04
星期一的豐滿 09
聖華女學院公認肉棒大叔
壞人大小姐與鬼畜騎士(01)
六月的七星(５)
寄生獸 完全版 （首刷附錄版） 08（完）
